Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen
0	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
1	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
2	0.25	0.4330127	1.0	0.0	39.0	58.50641	10.0	9.0
3	0.75	0.4330127	1.0	0.0	37.0	55.506756	10.0	9.0
4	0.5	0.5	1.0	0.0	38.0	57.00877	10.0	9.0
5	0.5	0.5	1.0	0.0	38.0	57.00877	10.0	9.0
6	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
7	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
8	0.25	0.4330127	1.0	0.0	39.0	58.50641	10.0	9.0
9	0.5	0.5	1.0	0.0	38.0	57.00877	10.0	9.0
10	0.5	0.5	1.0	0.0	38.0	57.00877	10.0	9.0
11	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
12	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
13	0.5	0.5	1.0	0.0	38.0	57.00877	10.0	9.0
14	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
15	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
16	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
17	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
18	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
19	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
20	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
21	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
22	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
23	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
24	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
25	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
26	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
27	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
28	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
29	0.5	0.5	1.0	0.0	38.0	57.00877	10.0	9.0
30	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
31	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
32	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
33	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
34	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
35	0.25	0.4330127	1.0	0.0	39.0	58.50641	10.0	9.0
36	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
37	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
38	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
39	0.0	0.0	0.0	0.0	40.0	60.0	10.0	10.0
