Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.25438598	0.43551555	1.0	0.0	8.745614	0.26866886	0.03514354	0.39061004	0.1654591	1000	0.03431229	0.163505	0.012055032	-0.00067800283	0.8354707	-0.11282473	0.445	0.0	1.8415882587432861
1	0.28947368	0.45351815	1.0	0.0	8.710526	0.22234683	0.0016091007	0.22617975	0.21727113	2000	-0.02769615	0.17826614	-0.0054108445	-0.0009804666	0.82805073	0.03888554	0.0	0.0	2.823838472366333
2	0.25438598	0.43551555	1.0	0.0	8.745614	0.25382885	0.00019782379	0.25406876	0.25321013	3000	0.025088524	0.16380292	0.0006156992	-0.0009828806	0.72387683	0.007599769	0.0	0.0	3.878504753112793
3	0.33043477	0.4703697	1.0	0.0	8.669565	0.22276032	0.0007673337	0.22347242	0.21933036	4000	-0.06384299	0.19795303	-0.011325836	-0.0046557337	0.6867039	-0.18623774	0.5	79.0	5.366688013076782
4	0.2631579	0.44034737	1.0	0.0	8.736842	0.29103082	0.0016867284	0.2916389	0.2863302	5000	0.051640186	0.17035791	0.000119410455	-0.0037272125	0.92216134	0.25490886	0.608	0.0	6.306633710861206
5	0.21238938	0.40899897	1.0	0.0	8.787611	0.22986172	0.0016778988	0.23046362	0.2251626	6000	0.06174071	0.14371677	-0.027594455	-0.002057001	0.50532746	0.047919776	1.0	8.0	7.473395109176636
6	0.33043477	0.4703697	1.0	0.0	8.669565	0.18396482	0.0017425788	0.18459606	0.17913225	7000	-0.102398194	0.20467721	-0.010955043	-0.011357814	0.6539796	-0.14225936	0.482	79.0	8.869686365127563
7	0.2631579	0.44034737	1.0	0.0	8.736842	0.28930148	0.001750298	0.2899324	0.284429	8000	0.047116958	0.17015253	-2.9396266e-05	-0.0035221279	0.8598378	0.17296927	0.561	0.0	9.974764585494995
8	0.27192983	0.44495392	1.0	0.0	8.72807	0.23075397	0.0017600057	0.23138842	0.22585344	9000	-0.0015396741	0.17034301	-0.01080275	-4.6610832e-05	0.550809	0.03534721	0.0	14.0	11.040225267410278
9	0.3478261	0.47628045	1.0	0.0	8.652174	0.23751508	0.0017675601	0.23815536	0.23261657	10000	-0.06633567	0.20335221	-0.008932158	-0.0047510117	0.66584647	-0.15574586	0.512	79.0	12.30484652519226
